Month,Model,MAE_Historical,RMSE_Historical,R2_Historical,MAE_Reproduced,RMSE_Reproduced,R2_Reproduced,Validation_Method,Feature_Mode,Reproduction_Random_State,MAE_Difference,MAE_Absolute_Difference,RMSE_Difference,RMSE_Absolute_Difference,R2_Difference,R2_Absolute_Difference,Record_Status
April,Decision Tree,3.8485714285714296,4.225814738495009,-6.893171059088423,3.86,4.230602793929016,-6.911067892503539,80/20 holdout (reproduction),3,42,0.011428571428570233,0.011428571428570233,0.004788055434007177,0.004788055434007177,-0.017896833415115943,0.017896833415115943,Matched
April,Linear Regression,1.4091570405191476,1.566344699761465,-0.084439408800758,1.4091570405191676,1.5663446997614852,-0.0844394088007862,80/20 holdout (reproduction),3,42,1.9984014443252818e-14,1.9984014443252818e-14,2.020605904817785e-14,2.020605904817785e-14,-2.8199664825478976e-14,2.8199664825478976e-14,Matched
April,Random Forest,2.366200000000069,2.638324565157092,-2.076713450809477,2.392500000000044,2.6584684406628245,-2.123874845297132,80/20 holdout (reproduction),3,42,0.02629999999997512,0.02629999999997512,0.020143875505732378,0.020143875505732378,-0.047161394487654995,0.047161394487654995,Matched
April,XGBoost,1.8754907226562487,2.1814298522794404,-1.1033575850494626,1.8754907226562492,2.1814298522794404,-1.1033575850494626,80/20 holdout (reproduction),3,42,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,Matched
August,Decision Tree,2.25,2.8939592256975564,-2.35,2.25,2.8939592256975564,-2.35,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
August,Linear Regression,2.0903970918193373,2.3337544869060745,-1.1785640020616936,2.0903970918193124,2.333754486906047,-1.178564002061642,80/20 holdout (reproduction),3,42,-2.4868995751603507e-14,2.4868995751603507e-14,-2.7533531010703882e-14,2.7533531010703882e-14,5.1736392947532295e-14,5.1736392947532295e-14,Matched
August,Random Forest,2.28393849206347,2.7987651595966185,-2.1332345674287536,2.2809077380952303,2.7785325715763887,-2.0880973005243595,80/20 holdout (reproduction),3,42,-0.0030307539682397078,0.0030307539682397078,-0.02023258802022987,0.02023258802022987,0.045137266904394124,0.045137266904394124,Matched
August,XGBoost,2.53249740600586,3.126707174305166,-2.910519101540558,2.53249740600586,3.126707174305166,-2.910519101540558,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
December,Decision Tree,2.0,2.0,-0.7777777777777777,2.0,2.0,-0.7777777777777777,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
December,Linear Regression,2.124649501528573,2.1603891363570864,-1.0743472091065414,2.12464950152858,2.160389136357097,-1.0743472091065622,80/20 holdout (reproduction),3,42,6.661338147750939e-15,6.661338147750939e-15,1.0658141036401503e-14,1.0658141036401503e-14,-2.0872192862952943e-14,2.0872192862952943e-14,Matched
December,Random Forest,1.375,1.3837087843907043,0.1490444444444443,1.4149999999999991,1.4264028182810062,0.0957222222222233,80/20 holdout (reproduction),3,42,0.03999999999999915,0.03999999999999915,0.04269403389030191,0.04269403389030191,-0.05332222222222101,0.05332222222222101,Matched
December,XGBoost,1.0007171630859375,1.4139174562868704,0.1114833008032292,1.0007171630859375,1.4139174562868704,0.1114833008032292,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
February,Decision Tree,0.8819999999999993,1.1434596626029263,0.9533633063707256,0.8739999999999981,1.141849377107155,0.9534945668162752,80/20 holdout (reproduction),3,42,-0.008000000000001228,0.008000000000001228,-0.0016102854957713575,0.0016102854957713575,0.00013126044554956362,0.00013126044554956362,Matched
February,Linear Regression,0.0031452409792677,0.0036384763507774,0.9999995278008856,0.0031452409792649,0.0036384763507729,0.9999995278008856,80/20 holdout (reproduction),3,42,-2.7998436902265667e-15,2.7998436902265667e-15,-4.4998726966838376e-15,4.4998726966838376e-15,0.0,0.0,Matched
February,Random Forest,1.5739133333335047,2.292072152587606,0.8126116337036168,1.529230000000092,2.240683964440485,0.8209199249753556,80/20 holdout (reproduction),3,42,-0.04468333333341268,0.04468333333341268,-0.051388188147121205,0.051388188147121205,0.008308291271738821,0.008308291271738821,Matched
February,XGBoost,0.8754318847656236,1.1538480275498133,0.9525120655928208,0.8754318847656236,1.1538480275498133,0.9525120655928208,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
January,Decision Tree,1.0475000000000063,1.286244533516086,0.949735172941288,1.0475000000000063,1.286244533516086,0.949735172941288,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
January,Linear Regression,0.0046183944812767,0.0048830508866594,0.9999992755646924,0.0046183944812696,0.0048830508866505,0.9999992755646924,80/20 holdout (reproduction),3,42,-7.1002231871730714e-15,7.1002231871730714e-15,-8.899998793499009e-15,8.899998793499009e-15,0.0,0.0,Matched
January,Random Forest,1.903808333333448,2.616926867689271,0.7919344011738418,1.9343875000000776,2.653981033631524,0.7860005099817128,80/20 holdout (reproduction),3,42,0.030579166666629742,0.030579166666629742,0.03705416594225319,0.03705416594225319,-0.005933891192129059,0.005933891192129059,Matched
January,XGBoost,0.8642797851562527,1.2190177574225212,0.9548521396910128,0.8642797851562527,1.2190177574225212,0.9548521396910128,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
July,Decision Tree,3.9750000000000014,6.617306854000353,-79.07085714285724,5.500000000000007,7.836134251019446,-111.28342857142874,80/20 holdout (reproduction),3,42,1.5250000000000057,1.5250000000000057,1.2188273970190924,1.2188273970190924,-32.21257142857151,32.21257142857151,Matched
July,Linear Regression,19.15083591992683,34.50686874513126,-2176.323868514224,19.150835919926838,34.50686874513125,-2176.323868514224,80/20 holdout (reproduction),3,42,7.105427357601002e-15,7.105427357601002e-15,-7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,Matched
July,Random Forest,2.7965833333336043,3.1667174425756164,-17.33709597460599,2.722500000000068,3.0312292885891003,-15.801556114286411,80/20 holdout (reproduction),3,42,-0.07408333333353623,0.07408333333353623,-0.13548815398651604,0.13548815398651604,1.5355398603195791,1.5355398603195791,Matched
July,XGBoost,3.148982238769534,4.126866498528445,-30.14244954820832,3.148982238769534,4.126866498528445,-30.14244954820832,80/20 holdout (reproduction),3,42,0.0,0.0,0.0,0.0,0.0,0.0,Matched
June,Decision Tree,3.9750000000000014,6.617306854000353,-79.07085714285724,5.500000000000007,7.836134251019446,-111.28342857142874,80/20 holdout (reproduction),3,42,1.5250000000000057,1.5250000000000057,1.2188273970190924,1.2188273970190924,-32.21257142857151,32.21257142857151,Matched
June,Linear Regression,19.15083591992683,34.50686874513126,-2176.323868514224,19.150835919926838,34.50686874513125,-2176.323868514224,80/20 holdout (reproduction),3,42,7.105427357601002e-15,7.105427357601002e-15,-7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,Matched
June,Random Forest,2.7965833333336043,3.1667174425756164,-17.33709597460599,2.722500000000071,3.031229288589101,-15.80155611428642,80/20 holdout (reproduction),3,42,-0.07408333333353312,0.07408333333353312,-0.1354881539865156,0.1354881539865156,1.5355398603195702,1.5355398603195702,Matched
