Month,Model,MAE,RMSE,R2,Training_Time,Prediction_Time
January,Linear Regression,0.0046183944812767,0.0048830508866594,0.9999992755646924,0.0024118423461914,0.0002844333648681
January,Decision Tree,1.0475000000000063,1.286244533516086,0.949735172941288,0.0039992332458496,0.0016505718231201
January,Random Forest,1.903808333333448,2.616926867689271,0.7919344011738418,0.6484401226043701,0.0886414051055908
January,XGBoost,0.8642797851562527,1.2190177574225212,0.9548521396910128,0.1744880676269531,0.0047826766967773
February,Linear Regression,0.0031452409792677,0.0036384763507774,0.9999995278008856,0.0014314651489257,0.0002520084381103
February,Decision Tree,0.8819999999999993,1.1434596626029263,0.9533633063707256,0.0037262439727783,0.0013763904571533
February,Random Forest,1.5739133333335047,2.292072152587606,0.8126116337036168,0.6562759876251221,0.0769233703613281
February,XGBoost,0.8754318847656236,1.1538480275498133,0.9525120655928208,0.8975672721862793,0.0199396610260009
March,Linear Regression,0.0015316647696607,0.0019025751796318,0.9999996774072756,0.0014979839324951,0.0002336502075195
March,Decision Tree,0.5099999999999995,0.707827662641128,0.9553495359032436,0.0040595531463623,0.0014278888702392
March,Random Forest,0.8421266666669538,1.3457514597181783,0.83860107647583,0.7030637264251709,0.0892908573150634
March,XGBoost,0.5229185180664075,0.7107278995076142,0.954982886709406,0.1623082160949707,0.0026576519012451
April,Linear Regression,1.4091570405191476,1.566344699761465,-0.084439408800758,0.0011606216430664,0.0001826286315917
April,Decision Tree,3.8485714285714296,4.225814738495009,-6.893171059088423,0.0033774375915527,0.0015983581542968
April,Random Forest,2.366200000000069,2.638324565157092,-2.076713450809477,0.4840526580810547,0.0886247158050537
April,XGBoost,1.8754907226562492,2.1814298522794404,-1.1033575850494626,0.0802416801452636,0.003173828125
May,Linear Regression,1.659790470306305,2.2103484634090464,0.3060169986229073,0.0012860298156738,0.0001771450042724
May,Decision Tree,2.6,2.932575659723036,-0.2215909090909091,0.0032281875610351,0.0012471675872802
May,Random Forest,2.0386666666666686,2.437210609601795,0.1562506313131315,0.5045104026794434,0.0886111259460449
May,XGBoost,2.640299987792969,3.1090528738664047,-0.3730411608660442,0.0770196914672851,0.0033416748046875
June,Linear Regression,19.15083591992683,34.50686874513126,-2176.323868514224,0.0012276172637939,0.0001749992370605
June,Decision Tree,3.9750000000000014,6.617306854000353,-79.07085714285724,0.0030035972595214,0.0014936923980712
June,Random Forest,2.7965833333336043,3.1667174425756164,-17.33709597460599,0.504385232925415,0.0775511264801025
June,XGBoost,3.148982238769534,4.126866498528445,-30.14244954820832,0.0731260776519775,0.0027651786804199
July,Linear Regression,19.15083591992683,34.50686874513126,-2176.323868514224,0.0010778903961181,0.0001828670501708
July,Decision Tree,3.9750000000000014,6.617306854000353,-79.07085714285724,0.0026285648345947,0.0019047260284423
July,Random Forest,2.7965833333336043,3.1667174425756164,-17.33709597460599,0.4980921745300293,0.0773658752441406
July,XGBoost,3.148982238769534,4.126866498528445,-30.14244954820832,0.1040120124816894,0.0026979446411132
August,Linear Regression,2.0903970918193373,2.3337544869060745,-1.1785640020616936,0.0010898113250732,0.0001764297485351
August,Decision Tree,2.25,2.8939592256975564,-2.35,0.0028424263000488,0.0011327266693115
August,Random Forest,2.28393849206347,2.7987651595966185,-2.1332345674287536,0.4789667129516601,0.0770370960235595
August,XGBoost,2.53249740600586,3.126707174305166,-2.910519101540558,0.0694577693939209,0.0028238296508789
October,Linear Regression,2.0097216526754864,2.2324073083070743,-6.786941234660681,0.0011367797851562,0.0001766681671142
October,Decision Tree,3.7666666666666657,4.2511436369784334,-27.23784722222222,0.0026791095733642,0.0010757446289062
October,Random Forest,1.51215555555556,2.1413339542686263,-6.164548599537047,0.4926838874816894,0.078484296798706
October,XGBoost,1.608245849609375,2.3180010634545893,-7.39551395340095,0.0678274631500244,0.0027735233306884
November,Linear Regression,4.459404695100876,5.309375780534071,-1.3129822505781976,0.0011117458343505,0.000166893005371
November,Decision Tree,3.75,5.387743291748203,-1.3817663817663806,0.0029489994049072,0.0011303424835205
November,Random Forest,3.3004047619047654,4.267085540796158,-0.4939913035874168,0.4944984912872314,0.0881369113922119
November,XGBoost,5.963075637817383,6.966203671049255,-2.9817840891520087,0.0757546424865722,0.0026664733886718
December,Linear Regression,2.124649501528573,2.1603891363570864,-1.0743472091065414,0.0011742115020751,0.0001764297485351
December,Decision Tree,2.0,2.0,-0.7777777777777777,0.0026166439056396,0.0012116432189941
December,Random Forest,1.375,1.3837087843907043,0.1490444444444443,0.5198671817779541,0.0765457153320312
December,XGBoost,1.0007171630859375,1.4139174562868704,0.1114833008032292,0.0561845302581787,0.0025804042816162
September,Linear Regression,1.7910835291828189,2.0252155047100486,0.252148541899856,,
September,Decision Tree,1.125,1.4577379737113252,0.6125356125356125,,
September,Random Forest,1.6166250000000009,1.8607794310582284,0.3686609520593715,,
September,XGBoost,1.8444318771362305,2.2838704088609845,0.04892279531016,,
